,node_index,include_indicator,DO_std,basin_info,lon,lat,depth
0,0,0,0,0,413209.8125,4916091.5,102.7573013
1,1,0,0,0,400581.4063,4916573.5,160.5582733
2,2,0,0,0,390430.0625,4916456.5,160.5582733
3,3,0,0,0,380630,4918330,160.5582733
4,4,0,0,0,375680,4925140,160.5582733
5,5,0,0,0,371747.0625,4934485,200.6978455
6,6,0,0,0,372380,4948020,250.8722992
7,7,0,0,0,372590,4959360,250.8722992
8,8,0,0,0,372790,4971110,313.5903931
9,9,0,0,0,373210,4983070,360.2895813
10,10,0,0,0,373540.7188,4995898,366.240387
11,11,0,0,0,373620,5008640,425.5809631
12,12,0,0,0,374240,5021830,402.8138733
13,13,0,0,0,373620,5033380,426.6378174
14,14,0,0,0,372790,5043890,440.6846313
15,15,0,0,0,371938.4063,5055438.5,286.8795471
16,16,0,0,0,371113.6563,5066951.5,229.5036469
17,17,0,0,0,371116.9375,5078570,196.6080017
18,18,0,0,0,370320,5089250,245.7599945
19,19,0,0,0,369700,5098530,307.2000122
20,20,0,0,0,368260,5109250,480
21,21,0,0,0,367070,5116400,600
22,22,0,0,0,365940,5125140,505.0771179
23,23,0,0,0,364750,5132840,505.0771179
24,24,0,0,0,363570,5143800,600
25,25,0,0,0,360610,5157420,600
26,26,0,0,0,357940,5171040,480
27,27,0,0,0,355870,5182000,384
28,28,0,0,0,351970,5198940,336.028595
29,29,0,0,0,349500,5210690,390.6487732
30,30,0,0,0,345210,5225540,480
31,31,0,0,0,338390,5248340,600
32,32,0,0,0,333360,5264330,538.1186523
33,33,0,0,0,328920,5276180,600
34,34,0,0,0,324600,5290600,600
35,35,0,0,0,318260,5306690,550.4476318
36,36,0,0,0,310940,5320170,440.3581238
37,37,0,0,0,304930,5330670,384
38,38,0,0,0,299300,5340150,307.2000122
39,39,0,0,0,292490,5349330,307.2000122
40,40,0,0,0,284200,5361770,279.7942505
41,41,0,0,0,276500,5373910,223.8354034
42,42,0,0,0,267610,5386350,238.2960358
43,43,0,0,0,259810,5398510,241.4030304
44,44,0,0,0,251150,5411300,241.4030304
45,45,0,0,0,243730,5420570,301.7537842
46,46,0,0,0,236510,5430060,377.1922302
47,47,0,0,0,229680.4063,5439240.5,301.7537842
48,48,0,0,0,219194.7969,5452312,241.4030304
49,49,0,0,0,211980,5463040,193.1224213
50,50,0,0,0,206870,5471920,235.1790619
51,51,0,0,0,201460,5480570,235.1790619
52,52,0,0,0,195280,5490050,293.9738159
53,53,0,0,0,189920,5497480,367.4672852
54,54,0,0,0,182410,5507640,320.7890015
55,55,0,0,0,174990,5516980,378.8426208
56,56,0,0,0,167850,5526050,303.0740967
57,57,0,0,0,160700,5535120,324.2328491
58,58,0,0,0,154380,5544460,320.086853
59,59,0,0,0,147510,5554630,400.1085815
60,60,0,0,0,144805,5558915,320.086853
61,61,0,0,0,142100,5563200,303.7384949
62,62,0,0,0,138645,5568365,379.6731262
63,63,0,0,0,135190,5573530,474.5914001
64,64,0,0,0,132495,5577625,474.5914001
65,65,0,0,0,129800,5581720,379.6731262
66,66,0,0,0,125740,5587205,303.7384949
67,67,0,0,0,121680,5592690,242.990799
68,68,0,0,0,118055,5597305,194.3926392
69,69,0,0,0,114430,5601920,177.7234497
70,70,0,0,0,110880,5606455,193.471756
71,71,0,0,0,107330,5610990,193.471756
72,72,0,0,0,102395,5616855,219.9914246
73,73,0,0,0,97460,5622720,219.9914246
74,74,0,0,0,92585.1875,5629095.5,175.9931335
75,75,0,0,0,87710.36719,5635471,175.9931335
76,76,0,0,0,77895.74219,5649720,112.6356125
77,77,0,0,0,73550,5666540,112.6356125
78,78,0,0,0,77370,5678280,135.2897797
79,79,0,0,0,84470,5690830,151.8363342
80,80,0,0,0,92930,5700110,189.7954254
81,81,0,0,0,100332.3594,5706292,192.4489746
82,82,0,0,0,109850,5713750,180.6387024
83,83,0,0,0,118467.3438,5719643,175.544754
84,84,0,0,0,127590,5726040,140.4358063
85,85,0,0,0,135521.4219,5731128,135.1244965
86,86,0,0,0,141480,5733030,108.0995865
87,87,0,0,0,405601.6875,4923417.5,128.4466248
88,88,0,0,0,413804.0625,4925484.5,102.7573013
89,89,0,0,0,395991.9063,4927250,160.5582733
90,90,0,0,0,385565.4688,4927033.5,160.5582733
91,91,0,0,0,379535.0625,4937049.5,200.6978455
92,92,0,0,0,382255,4948399,250.8722992
