,node_id,x,y,lat,lon,DO_std,depth,area,volume,basin_info,region_info,included_indicator
0,1,413209.827,4916091.54,44.39291102,-124.0897369,-999,0.1027573,27.4446218,2.820135236,other,Other,0
1,2,400581.392,4916573.43,44.39562575,-124.2483566,-999,0.12844662,47.1300337,6.05369353,other,Other,0
2,3,390430.064,4916456.48,44.39310913,-124.375763,-999,0.12844662,52.46565036,6.739035455,other,Other,0
3,4,380630,4918330,44.40842228,-124.4992033,-999,0.13131131,28.53907384,3.747503172,other,Other,0
4,5,375680,4925140,44.46887584,-124.5629827,-999,0.16413914,44.99754168,7.385857793,other,Other,0
5,6,371747.051,4934484.89,44.55228446,-124.6147304,-999,0.20517392,31.10865875,6.382685462,other,Other,0
6,7,372380,4948020,44.67419909,-124.6101274,-999,0.2508723,54.45676366,13.66169355,other,Other,0
7,8,372590,4959360,44.77628288,-124.6103083,-999,0.31359038,72.23844797,22.65328235,other,Other,0
8,9,372790,4971110,44.88205252,-124.6107244,-999,0.39198798,55.01376272,21.56473372,other,Other,0
9,10,373210,4983070,44.98974924,-124.6084107,-999,0.45036197,57.11304998,25.7215457,other,Other,0
10,11,373540.714,4995898.11,45.10523956,-124.6074476,-999,0.41644076,55.10983895,22.94998322,other,Other,0
11,12,373620,5008640,45.21990678,-124.6096664,-999,0.42835751,50.76203184,21.74429756,other,Other,0
12,13,374240,5021830,45.3387008,-124.6051164,-999,0.42159818,63.71079743,26.86035624,other,Other,0
13,14,373620,5033380,45.44251311,-124.615986,-999,0.47425726,46.10419924,21.86525121,other,Other,0
14,15,372790,5043890,45.53692636,-124.6293196,-999,0.4482493,40.90071087,18.33371502,other,Other,0
15,16,371938.409,5055438.66,45.64067699,-124.6432524,-999,0.35859944,41.11049877,14.74220184,other,Other,0
16,17,371113.67,5066951.73,45.74410818,-124.6568875,-999,0.28687955,42.25557973,12.1222617,other,Other,0
17,18,371116.93,5078570.16,45.84863853,-124.6599472,-999,0.24576,50.95196538,12.52195501,other,Other,0
18,19,370320,5089250,45.94457201,-124.6730907,-999,0.3072,34.44541493,10.58163147,other,Other,0
19,20,369700,5098530,46.02794198,-124.683616,-999,0.384,30.71096937,11.79301224,other,Other,0
20,21,368260,5109250,46.12410611,-124.7051828,-999,0.48,28.29573114,13.58195095,other,Other,0
21,22,367070,5116400,46.18819695,-124.722585,-999,0.6,27.29986276,16.37991766,other,Other,0
22,23,365940,5125140,46.26659901,-124.7397042,-999,0.6,29.94621976,17.96773186,other,Other,0
23,24,364750,5132840,46.33562942,-124.757355,-999,0.6,32.36041936,19.41625162,other,Other,0
24,25,363570,5143800,46.43398255,-124.7758748,-999,0.6,38.09863613,22.85918168,other,Other,0
25,26,360610,5157420,46.55589025,-124.8184654,-999,0.6,66.17271014,39.70362609,other,Other,0
26,27,357940,5171040,46.67783841,-124.8574651,-999,0.53046344,18.43781625,9.780587432,other,Other,0
27,28,355870,5182000,46.7759736,-124.8879534,-999,0.42437075,55.60981369,23.59917834,other,Other,0
28,29,351970,5198940,46.92747504,-124.9445029,-999,0.42003574,68.6424315,28.83227451,other,Other,0
29,30,349500,5210690,47.03259222,-124.9808293,-999,0.48831097,51.12400186,24.96441094,other,Other,0
30,31,345210,5225540,47.16514645,-125.042359,-999,0.6,70.14142814,42.08485688,other,Other,0
31,32,338390,5248340,47.36852677,-125.1405349,-999,0.6,133.1093096,79.86558576,other,Other,0
32,33,333360,5264330,47.51103566,-125.2131313,-999,0.6,41.90177758,25.14106655,other,Other,0
33,34,328920,5276180,47.61642359,-125.2766652,-999,0.6,64.51302237,38.70781342,other,Other,0
34,35,324600,5290600,47.7449073,-125.3398981,-999,0.6,87.51685963,52.51011578,other,Other,0
35,36,318260,5306690,47.88779168,-125.4311455,-999,0.6,69.57666981,41.74600189,other,Other,0
36,37,310940,5320170,48.00684223,-125.5348901,-999,0.48,95.52426598,45.85164767,other,Other,0
37,38,304930,5330670,48.09940749,-125.6201721,-999,0.384,35.23874736,13.53167899,other,Other,0
38,39,299300,5340150,48.18285575,-125.7001758,-999,0.35859314,59.69271321,21.40539747,other,Other,0
39,40,292490,5349330,48.2631609,-125.7961778,-999,0.28687451,69.5478912,19.95151721,other,Other,0
40,41,284200,5361770,48.37216605,-125.9141021,-999,0.34974283,74.35037493,26.00351054,other,Other,0
41,42,276500,5373910,48.47855255,-126.0244031,-999,0.27979426,74.24134601,20.77230247,other,Other,0
42,43,267610,5386350,48.5870761,-126.1514513,-999,0.23829604,85.80224815,20.44633596,other,Other,0
43,44,259810,5398510,48.6933509,-126.2640985,-999,0.29787006,93.96674805,27.98988088,other,Other,0
44,45,251150,5411300,48.80481688,-126.3892991,-999,0.30175379,102.6507923,30.97526564,other,Other,0
45,46,243730,5420570,48.88503989,-126.4959611,-999,0.37719224,43.90580491,16.5609289,other,Other,0
46,47,236510,5430060,48.96721535,-126.6003821,-999,0.4714903,25.42311418,11.98675173,other,Other,0
47,48,229680.412,5439240.39,49.04667872,-126.699611,-999,0.37719224,83.12975522,31.35589858,other,Other,0
48,49,219194.798,5452311.76,49.15931108,-126.851868,-999,0.30175379,65.53248205,19.77467483,other,Other,0
49,50,211980,5463040,49.2522443,-126.9582805,-999,0.24140303,67.91430883,16.39471993,other,Other,0
50,51,206870,5471920,49.32949841,-127.034835,-999,0.23517906,23.34396414,5.490011542,other,Other,0
51,52,201460,5480570,49.40448407,-127.115586,-999,0.29397383,59.50326231,17.49240192,other,Other,0
52,53,195280,5490050,49.48646569,-127.2078276,-999,0.36746728,43.90074156,16.13208609,other,Other,0
53,54,189920,5497480,49.55039717,-127.2874603,-999,0.45933411,47.67159852,21.89719128,other,Other,0
54,55,182410,5507640,49.63762494,-127.3991865,-999,0.40098627,63.86228772,25.60790055,other,Other,0
55,56,174990,5516980,49.71742827,-127.5093892,-999,0.47355328,26.33418436,12.47063938,other,Other,0
56,57,167850,5526050,49.79484952,-127.6158475,-999,0.37884263,59.77830002,22.6465684,other,Other,0
57,58,160700,5535120,49.87215636,-127.7227869,-999,0.40529108,39.77145006,16.11901395,other,Other,0
58,59,154380,5544460,49.95225378,-127.8187845,-999,0.40010857,35.20540186,14.08598299,other,Other,0
59,60,147510,5554630,50.03937354,-127.923519,-999,0.50013571,15.17152631,7.587822085,other,Other,0
60,61,144805,5558915,50.07616148,-127.9651232,-999,0.40010857,11.17949669,4.473012433,other,Other,0
61,62,142100,5563200,50.11293238,-128.0067922,-999,0.32008686,10.79380818,3.454956169,other,Other,0
62,63,138645,5568365,50.15711369,-128.0598171,-999,0.37967313,11.2341231,4.26529468,other,Other,0
63,64,135190,5573530,50.20126749,-128.1129412,-999,0.47459141,11.97519675,5.683325508,other,Other,0
64,65,132495,5577625,50.2362821,-128.1545128,-999,0.59323926,12.88348472,7.642988944,other,Other,0
65,66,129800,5581720,50.27127976,-128.1961463,-999,0.47459141,14.9882205,7.113280702,other,Other,0
66,67,125740,5587205,50.31784493,-128.2583063,-999,0.37967313,16.40835345,6.229810911,other,Other,0
67,68,121680,5592690,50.36437268,-128.3205892,-999,0.3037385,15.43797944,4.689108717,other,Other,0
68,69,118055,5597305,50.40335571,-128.3760162,-999,0.2429908,14.47333082,3.516886235,other,Other,0
69,70,114430,5601920,50.44230918,-128.4315349,-999,0.2004124,14.29842249,2.865581167,other,Other,0
70,71,110880,5606455,50.48056655,-128.4860102,-999,0.20669464,14.43874449,2.984411094,other,Other,0
71,72,107330,5610990,50.51879533,-128.5405742,-999,0.24183971,16.67735632,4.033247016,other,Other,0
72,73,102395,5616855,50.56795941,-128.6161047,-999,0.23516408,20.08002389,4.722100345,other,Other,0
73,74,97460,5622720,50.61706888,-128.6917933,-999,0.27498929,23.48549406,6.458259336,other,Other,0
74,75,92585.1841,5629095.48,50.67073304,-128.7673545,-999,0.21999143,26.13558519,5.74960476,other,Other,0
75,76,87710.3682,5635470.97,50.72434201,-128.8430898,-999,0.17599314,34.93914354,6.149049581,other,Other,0
76,77,77895.7385,5649719.98,50.84474333,-128.9977263,-999,0.14079452,79.30952235,11.16634613,other,Other,0
77,78,73550,5666540,50.99196837,-129.0787455,-999,0.11263561,43.71292315,4.923631764,other,Other,0
78,79,77370,5678280,51.09976864,-129.0383027,-999,0.13528978,81.22100691,10.98837216,other,Other,0
79,80,84470,5690830,51.21719738,-128.9519282,-999,0.16911222,104.569421,17.68396694,other,Other,0
80,81,92930,5700110,51.3062984,-128.8419805,-999,0.21139027,29.74378646,6.28754705,other,Other,0
81,82,100332.36,5706291.85,51.36684695,-128.7432542,-999,0.2155553,46.47717062,10.01840046,other,Other,0
82,83,109850,5713750,51.44019941,-128.6153914,-999,0.20935881,50.98620689,10.6744116,other,Other,0
83,84,118467.341,5719643.17,51.49880978,-128.4983384,-999,0.19281305,42.83936437,8.259988505,other,Other,0
84,85,127590,5726040,51.56215352,-128.3742567,-999,0.16890561,53.02570417,8.956338909,other,Other,0
85,86,135521.421,5731128.04,51.61288692,-128.2656018,-999,0.13512449,19.75395713,2.669243383,other,Other,0
86,87,141480,5733030,51.6337414,-128.1818455,-999,0.10809959,15.29619523,1.653512432,other,Other,0
87,88,405601.673,4923417.67,44.45790158,-124.1865787,-999,0.12844662,68.25276331,8.766836753,other,Other,0
88,89,413804.064,4925484.49,44.47752987,-124.0838388,-999,0.1027573,38.0098469,3.905789241,other,Other,0
89,90,395991.919,4927250,44.49107552,-124.308113,-999,0.16055827,115.7364573,18.58244536,other,Other,0
90,91,385565.454,4927033.51,44.4875502,-124.4391598,-999,0.16055827,98.05856217,15.7441131,other,Other,0
91,92,379535.055,4937049.26,44.5767064,-124.5173131,-999,0.20069784,101.272967,20.32526573,other,Other,0
92,93,382255.01,4948399.18,44.67929983,-124.4856693,-999,0.2508723,116.7312366,29.28463382,other,Other,0
93,94,383511.518,4958428.67,44.76976425,-124.4721081,-999,0.2508723,76.25271501,19.129694,other,Other,0
94,95,382206.566,4967648.88,44.85252483,-124.4907301,-999,0.31359038,98.46144795,30.87656288,other,Other,0
95,96,382671.453,4978486.44,44.95012922,-124.4873617,-999,0.36028958,107.2886867,38.65499586,other,Other,0
96,97,382796.732,4989714.94,45.05119391,-124.4883885,-999,0.36222009,109.7704384,39.76105808,other,Other,0
97,98,382062.278,5001194.75,45.15437511,-124.5004163,-999,0.36624039,97.24896562,35.6164991,other,Other,0
98,99,381689.624,5012461.47,45.25569616,-124.5078322,-999,0.42558096,84.90539718,36.13412044,other,Other,0
99,100,383531.995,5021401.36,45.33644866,-124.4864603,-999,0.40281387,61.71976137,24.86157593,other,Other,0
100,101,383032.017,5030811.06,45.4210364,-124.4950695,-999,0.42663782,96.90228914,41.34218139,other,Other,0
101,102,381005.717,5040498.89,45.5078657,-124.5233067,-999,0.44068463,79.04986879,34.83606218,other,Other,0
102,103,379458.855,5050754.28,45.59987565,-124.5456298,-999,0.35859944,73.31250818,26.28982438,other,Other,0
